instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr,is_holiday,is_weekday
25,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0.0,Weekday,holiday
26,2011-01-02,1,0,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,1.0,Weekday,holiday
27,2011-01-02,1,0,1,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2.0,Weekday,holiday
28,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,3.0,Weekday,holiday
29,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,4.0,Weekday,holiday
30,2011-01-02,1,0,1,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,6.0,Weekday,holiday
31,2011-01-02,1,0,1,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,7.0,Weekday,holiday
32,2011-01-02,1,0,1,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,8.0,Weekday,holiday
33,2011-01-02,1,0,1,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,9.0,Weekday,holiday
34,2011-01-02,1,0,1,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,10.0,Weekday,holiday
35,2011-01-02,1,0,1,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,11.0,Weekday,holiday
36,2011-01-02,1,0,1,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,12.0,Weekday,holiday
37,2011-01-02,1,0,1,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,13.0,Weekday,holiday
38,2011-01-02,1,0,1,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,14.0,Weekday,holiday
39,2011-01-02,1,0,1,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,15.0,Weekday,holiday
40,2011-01-02,1,0,1,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,16.0,Weekday,holiday
41,2011-01-02,1,0,1,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,17.0,Weekday,holiday
42,2011-01-02,1,0,1,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,18.0,Weekday,holiday
43,2011-01-02,1,0,1,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,19.0,Weekday,holiday
44,2011-01-02,1,0,1,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,20.0,Weekday,holiday
45,2011-01-02,1,0,1,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,21.0,Weekday,holiday
46,2011-01-02,1,0,1,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,22.0,Weekday,holiday
47,2011-01-02,1,0,1,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,23.0,Weekday,holiday
48,2011-01-03,1,0,1,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,0.0,Weekday,weekday
49,2011-01-03,1,0,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,1.0,Weekday,weekday
50,2011-01-03,1,0,1,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,4.0,Weekday,weekday
51,2011-01-03,1,0,1,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,5.0,Weekday,weekday
52,2011-01-03,1,0,1,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,6.0,Weekday,weekday
53,2011-01-03,1,0,1,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,7.0,Weekday,weekday
54,2011-01-03,1,0,1,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,8.0,Weekday,weekday
55,2011-01-03,1,0,1,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,9.0,Weekday,weekday
56,2011-01-03,1,0,1,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,10.0,Weekday,weekday
57,2011-01-03,1,0,1,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,11.0,Weekday,weekday
58,2011-01-03,1,0,1,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,12.0,Weekday,weekday
59,2011-01-03,1,0,1,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,13.0,Weekday,weekday
60,2011-01-03,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,14.0,Weekday,weekday
61,2011-01-03,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,15.0,Weekday,weekday
62,2011-01-03,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,16.0,Weekday,weekday
63,2011-01-03,1,0,1,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,17.0,Weekday,weekday
64,2011-01-03,1,0,1,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,18.0,Weekday,weekday
65,2011-01-03,1,0,1,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,19.0,Weekday,weekday
66,2011-01-03,1,0,1,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,20.0,Weekday,weekday
67,2011-01-03,1,0,1,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,21.0,Weekday,weekday
68,2011-01-03,1,0,1,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,22.0,Weekday,weekday
69,2011-01-03,1,0,1,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,23.0,Weekday,weekday
70,2011-01-04,1,0,1,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0.0,Weekday,holiday
71,2011-01-04,1,0,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,1.0,Weekday,holiday
72,2011-01-04,1,0,1,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2.0,Weekday,holiday
73,2011-01-04,1,0,1,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,4.0,Weekday,holiday
74,2011-01-04,1,0,1,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,5.0,Weekday,holiday
75,2011-01-04,1,0,1,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,6.0,Weekday,holiday
76,2011-01-04,1,0,1,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,7.0,Weekday,holiday
77,2011-01-04,1,0,1,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,8.0,Weekday,holiday
78,2011-01-04,1,0,1,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,9.0,Weekday,holiday
79,2011-01-04,1,0,1,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,10.0,Weekday,holiday
80,2011-01-04,1,0,1,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,11.0,Weekday,holiday
81,2011-01-04,1,0,1,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,12.0,Weekday,holiday
82,2011-01-04,1,0,1,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,13.0,Weekday,holiday
83,2011-01-04,1,0,1,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,14.0,Weekday,holiday
84,2011-01-04,1,0,1,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,15.0,Weekday,holiday
85,2011-01-04,1,0,1,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,16.0,Weekday,holiday
86,2011-01-04,1,0,1,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,17.0,Weekday,holiday
87,2011-01-04,1,0,1,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,18.0,Weekday,holiday
88,2011-01-04,1,0,1,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,19.0,Weekday,holiday
89,2011-01-04,1,0,1,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,20.0,Weekday,holiday
90,2011-01-04,1,0,1,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,21.0,Weekday,holiday
91,2011-01-04,1,0,1,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,22.0,Weekday,holiday
92,2011-01-04,1,0,1,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,23.0,Weekday,holiday
93,2011-01-05,1,0,1,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,0.0,Weekday,holiday
94,2011-01-05,1,0,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,1.0,Weekday,holiday
95,2011-01-05,1,0,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2.0,Weekday,holiday
96,2011-01-05,1,0,1,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,4.0,Weekday,holiday
97,2011-01-05,1,0,1,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,5.0,Weekday,holiday
98,2011-01-05,1,0,1,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,6.0,Weekday,holiday
99,2011-01-05,1,0,1,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,7.0,Weekday,holiday
100,2011-01-05,1,0,1,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,8.0,Weekday,holiday
101,2011-01-05,1,0,1,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,9.0,Weekday,holiday
102,2011-01-05,1,0,1,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,10.0,Weekday,holiday
103,2011-01-05,1,0,1,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,11.0,Weekday,holiday
104,2011-01-05,1,0,1,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,12.0,Weekday,holiday
105,2011-01-05,1,0,1,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,13.0,Weekday,holiday
106,2011-01-05,1,0,1,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,14.0,Weekday,holiday
107,2011-01-05,1,0,1,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,15.0,Weekday,holiday
108,2011-01-05,1,0,1,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,16.0,Weekday,holiday
109,2011-01-05,1,0,1,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,17.0,Weekday,holiday
110,2011-01-05,1,0,1,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,18.0,Weekday,holiday
111,2011-01-05,1,0,1,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,19.0,Weekday,holiday
112,2011-01-05,1,0,1,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,20.0,Weekday,holiday
113,2011-01-05,1,0,1,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,21.0,Weekday,holiday
114,2011-01-05,1,0,1,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,22.0,Weekday,holiday
115,2011-01-05,1,0,1,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,23.0,Weekday,holiday
116,2011-01-06,1,0,1,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,0.0,Weekday,holiday
117,2011-01-06,1,0,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,1.0,Weekday,holiday
118,2011-01-06,1,0,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,2.0,Weekday,holiday
119,2011-01-06,1,0,1,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,4.0,Weekday,holiday
120,2011-01-06,1,0,1,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,5.0,Weekday,holiday
121,2011-01-06,1,0,1,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,6.0,Weekday,holiday
122,2011-01-06,1,0,1,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,7.0,Weekday,holiday
123,2011-01-06,1,0,1,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,8.0,Weekday,holiday
124,2011-01-06,1,0,1,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,9.0,Weekday,holiday
125,2011-01-06,1,0,1,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,10.0,Weekday,holiday
126,2011-01-06,1,0,1,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,11.0,Weekday,holiday
127,2011-01-06,1,0,1,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,12.0,Weekday,holiday
128,2011-01-06,1,0,1,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,13.0,Weekday,holiday
129,2011-01-06,1,0,1,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,14.0,Weekday,holiday
130,2011-01-06,1,0,1,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,15.0,Weekday,holiday
131,2011-01-06,1,0,1,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,16.0,Weekday,holiday
132,2011-01-06,1,0,1,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,17.0,Weekday,holiday
133,2011-01-06,1,0,1,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,18.0,Weekday,holiday
134,2011-01-06,1,0,1,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,19.0,Weekday,holiday
135,2011-01-06,1,0,1,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,20.0,Weekday,holiday
136,2011-01-06,1,0,1,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,21.0,Weekday,holiday
137,2011-01-06,1,0,1,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,22.0,Weekday,holiday
138,2011-01-06,1,0,1,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,23.0,Weekday,holiday
139,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,0.0,Weekday,holiday
140,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,1.0,Weekday,holiday
141,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,2.0,Weekday,holiday
142,2011-01-07,1,0,1,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,4.0,Weekday,holiday
143,2011-01-07,1,0,1,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,5.0,Weekday,holiday
144,2011-01-07,1,0,1,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,6.0,Weekday,holiday
145,2011-01-07,1,0,1,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,7.0,Weekday,holiday
146,2011-01-07,1,0,1,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,8.0,Weekday,holiday
147,2011-01-07,1,0,1,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,9.0,Weekday,holiday
148,2011-01-07,1,0,1,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,10.0,Weekday,holiday
149,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,11.0,Weekday,holiday
150,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,12.0,Weekday,holiday
151,2011-01-07,1,0,1,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,13.0,Weekday,holiday
152,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,14.0,Weekday,holiday
153,2011-01-07,1,0,1,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,15.0,Weekday,holiday
154,2011-01-07,1,0,1,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,16.0,Weekday,holiday
155,2011-01-07,1,0,1,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,17.0,Weekday,holiday
156,2011-01-07,1,0,1,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,18.0,Weekday,holiday
157,2011-01-07,1,0,1,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,19.0,Weekday,holiday
158,2011-01-07,1,0,1,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,20.0,Weekday,holiday
159,2011-01-07,1,0,1,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,21.0,Weekday,holiday
160,2011-01-07,1,0,1,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,22.0,Weekday,holiday
161,2011-01-07,1,0,1,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,23.0,Weekday,holiday
162,2011-01-08,1,0,1,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,0.0,Weekday,holiday
163,2011-01-08,1,0,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,1.0,Weekday,holiday
164,2011-01-08,1,0,1,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,2.0,Weekday,holiday
165,2011-01-08,1,0,1,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,3.0,Weekday,holiday
166,2011-01-08,1,0,1,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,4.0,Weekday,holiday
167,2011-01-08,1,0,1,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,5.0,Weekday,holiday
168,2011-01-08,1,0,1,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,6.0,Weekday,holiday
169,2011-01-08,1,0,1,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,7.0,Weekday,holiday
170,2011-01-08,1,0,1,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,8.0,Weekday,holiday
171,2011-01-08,1,0,1,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,9.0,Weekday,holiday
172,2011-01-08,1,0,1,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,10.0,Weekday,holiday
173,2011-01-08,1,0,1,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,11.0,Weekday,holiday
174,2011-01-08,1,0,1,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,12.0,Weekday,holiday
175,2011-01-08,1,0,1,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,13.0,Weekday,holiday
176,2011-01-08,1,0,1,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,14.0,Weekday,holiday
177,2011-01-08,1,0,1,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,15.0,Weekday,holiday
178,2011-01-08,1,0,1,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,16.0,Weekday,holiday
179,2011-01-08,1,0,1,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,17.0,Weekday,holiday
180,2011-01-08,1,0,1,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,18.0,Weekday,holiday
181,2011-01-08,1,0,1,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,19.0,Weekday,holiday
182,2011-01-08,1,0,1,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,20.0,Weekday,holiday
183,2011-01-08,1,0,1,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,21.0,Weekday,holiday
184,2011-01-08,1,0,1,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,22.0,Weekday,holiday
185,2011-01-08,1,0,1,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,23.0,Weekday,holiday
186,2011-01-09,1,0,1,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,0.0,Weekday,holiday
187,2011-01-09,1,0,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,1.0,Weekday,holiday
188,2011-01-09,1,0,1,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,2.0,Weekday,holiday
189,2011-01-09,1,0,1,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,3.0,Weekday,holiday
190,2011-01-09,1,0,1,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,4.0,Weekday,holiday
191,2011-01-09,1,0,1,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,5.0,Weekday,holiday
192,2011-01-09,1,0,1,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,6.0,Weekday,holiday
193,2011-01-09,1,0,1,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,7.0,Weekday,holiday
194,2011-01-09,1,0,1,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,8.0,Weekday,holiday
195,2011-01-09,1,0,1,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,9.0,Weekday,holiday
196,2011-01-09,1,0,1,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,10.0,Weekday,holiday
197,2011-01-09,1,0,1,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,11.0,Weekday,holiday
198,2011-01-09,1,0,1,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,12.0,Weekday,holiday
199,2011-01-09,1,0,1,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,13.0,Weekday,holiday
200,2011-01-09,1,0,1,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,14.0,Weekday,holiday
201,2011-01-09,1,0,1,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,15.0,Weekday,holiday
202,2011-01-09,1,0,1,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,16.0,Weekday,holiday
203,2011-01-09,1,0,1,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,17.0,Weekday,holiday
204,2011-01-09,1,0,1,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,18.0,Weekday,holiday
205,2011-01-09,1,0,1,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,19.0,Weekday,holiday
206,2011-01-09,1,0,1,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,20.0,Weekday,holiday
207,2011-01-09,1,0,1,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,21.0,Weekday,holiday
208,2011-01-09,1,0,1,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,22.0,Weekday,holiday
209,2011-01-09,1,0,1,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,23.0,Weekday,holiday
210,2011-01-10,1,0,1,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,0.0,Weekday,weekday
211,2011-01-10,1,0,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,1.0,Weekday,weekday
212,2011-01-10,1,0,1,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,2.0,Weekday,weekday
213,2011-01-10,1,0,1,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,3.0,Weekday,weekday
214,2011-01-10,1,0,1,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,4.0,Weekday,weekday
215,2011-01-10,1,0,1,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,5.0,Weekday,weekday
216,2011-01-10,1,0,1,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,6.0,Weekday,weekday
217,2011-01-10,1,0,1,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,7.0,Weekday,weekday
218,2011-01-10,1,0,1,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,8.0,Weekday,weekday
219,2011-01-10,1,0,1,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,9.0,Weekday,weekday
220,2011-01-10,1,0,1,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,10.0,Weekday,weekday
221,2011-01-10,1,0,1,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,11.0,Weekday,weekday
222,2011-01-10,1,0,1,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,12.0,Weekday,weekday
223,2011-01-10,1,0,1,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,13.0,Weekday,weekday
224,2011-01-10,1,0,1,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,14.0,Weekday,weekday
225,2011-01-10,1,0,1,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,15.0,Weekday,weekday
226,2011-01-10,1,0,1,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,16.0,Weekday,weekday
227,2011-01-10,1,0,1,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,17.0,Weekday,weekday
228,2011-01-10,1,0,1,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,18.0,Weekday,weekday
229,2011-01-10,1,0,1,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,19.0,Weekday,weekday
230,2011-01-10,1,0,1,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,20.0,Weekday,weekday
231,2011-01-10,1,0,1,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,21.0,Weekday,weekday
232,2011-01-10,1,0,1,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,22.0,Weekday,weekday
